model,N,n_qubits,noise_regime,noise_level,replicate,train_auc,val_score,test_auc,gen_gap,best_epoch,restarts_used,escaped,n_train,n_params,seed,train_secs
non_equivariant,200,4,none,none,12,0.7692669172932332,0.8333333333333333,0.763526,0.0057409172932331165,26,1,True,200,61,3690079563,11.67
non_equivariant,500,4,none,none,11,0.8907140714071407,0.9014423076923077,0.8494845,0.041229571407140675,48,1,True,500,61,1516585430,48.92
classical_matched,100,0,none,none,8,0.6971428571428572,0.64,0.574337,0.12280585714285719,26,1,True,100,61,3190491786,0.17
equivariant,200,4,correlated,low,8,0.8494117647058823,0.8133333333333334,0.844763,0.004648764705882269,26,1,True,200,61,4118718478,140.57
classical_reference,200,0,none,none,14,0.7941960784313725,0.784,0.8416044999999999,-0.047408421568627346,26,1,True,200,641,3099413952,2.65
classical_reference,100,0,none,none,3,0.8182957393483709,0.7812499999999999,0.8232199999999998,-0.004924260651628987,26,1,True,100,641,886856489,0.19
equivariant,200,6,correlated,mid,5,0.8753124999999999,0.8400000000000001,0.852897,0.02241549999999992,31,1,True,200,103,2273803658,936.98
equivariant,100,4,none,none,17,0.84375,0.9199999999999999,0.851312,-0.007561999999999958,26,1,True,100,61,648176605,7.48
non_equivariant,200,4,iid,high,4,0.8982176360225141,0.9797979797979799,0.849556,0.048661636022514165,35,1,True,200,61,359623383,1922.56
equivariant,200,6,none,none,5,0.9334375,0.8,0.837872,0.09556550000000008,60,1,True,200,103,2273803658,77.72
non_equivariant,200,8,correlated,high,7,0.6917540291034266,0.8593350383631714,0.801762,-0.11000797089657333,43,1,True,200,153,2152804316,4807.37
non_equivariant,200,6,correlated,high,2,0.815625,0.8875,0.7896665,0.025958499999999995,31,1,True,200,103,3918929753,930.73
classical_matched,200,0,none,none,14,0.636235294117647,0.48799999999999993,0.547628,0.088607294117647,43,1,True,200,61,3099413952,0.44
equivariant,200,2,correlated,high,9,0.6130196078431372,0.9440000000000001,0.6920655,-0.07904589215686275,39,1,True,200,27,4248224799,174.19
classical_matched,50,0,none,none,14,0.6262626262626263,0.04761904761904763,0.59165,0.03461262626262629,26,1,True,50,61,3307801778,0.18
non_equivariant,200,4,correlated,mid,3,0.872948898265354,0.9573934837092732,0.7974619999999999,0.07548689826535415,43,1,True,200,61,3531259822,543.9
equivariant,200,6,correlated,low,5,0.8834374999999999,0.8049999999999999,0.85,0.0334374999999999,31,1,True,200,103,2273803658,935.4
equivariant,200,4,correlated,high,1,0.8705992802378344,0.9846547314578005,0.843386,0.027213280237834425,39,1,True,200,61,1751689673,170.2
